"","Location","lat","lng","Original_Location"
"1","New York, NY, USA",40.7127753,-74.0059728,"New York City"
"2","New Jersey, USA",40.0583238,-74.4056612,"New Jersey, USA"
"3","New York, NY, USA",40.7127753,-74.0059728,"New York"
"4","1436 W Jefferson Blvd, Los Angeles, CA 90007, USA",34.0253419,-118.2985934,"northern africa, apparently"
"5","13 Mangorei Rd, Strandon, New Plymouth 4312, New Zealand",-39.052628,174.093984,"Hamilton and New Plymouth, NZ"
"6","London, UK",51.5073509,-0.1277583,"London, UK"
"7","Washington, DC, USA",38.9071923,-77.0368707,"Washington, D.C."
"8","Dallas, TX, USA",32.7766642,-96.7969879,"Dallas, TX"
"9","Regensburg, Germany",49.0134297,12.1016236,"Regensburg, Deutschland"
"10","Virginia, USA",37.4315734,-78.6568942,"Virginia, USA"
"11","Kampung Kerinchi, 59200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.114148,101.6643038,"Kerinchi, Kuala Lumpur"
"12","Washington, DC, USA",38.9071923,-77.0368707,"Washington, DC"
"13","Houston, TX, USA",29.7604267,-95.3698028,"Houston, TX"
"14","Vancouver, BC, Canada",49.2827291,-123.1207375,"Vancouver"
"15","Riyadh Saudi Arabia",24.7135517,46.6752957,"Riyadh&Raleigh,NC"
"16","Rio de Janeiro, State of Rio de Janeiro, Brazil",-22.9068467,-43.1728965,"Rio de Janeiro, Brasil"
"17","Davis, CA, USA",38.5449065,-121.7405167,"Davis, CA"
"18","Bethesda, MD, USA",38.984652,-77.0947092,"Bethesda, MD"
"19","Los Angeles, CA, USA",34.0522342,-118.2436849,"Los Angeles"
"20","Boston, MA, USA",42.3600825,-71.0588801,"Boston, MA"
"21","Germany",51.165691,10.451526,"Germany"
"22","800 Connecticut Ave NW #1001, Washington, DC 20006, USA",38.9005046,-77.0384718,"Greater DC"
"23","Washington, DC, USA",38.9071923,-77.0368707,"Washington, DC"
"24","Louisville, KY, USA",38.2526647,-85.7584557,"Louisville, Kentucky"
"25","New York, NY, USA",40.7127753,-74.0059728,"New York, NY"
"26","Chicago, IL, USA",41.8781136,-87.6297982,"Chicago"
"27","Washington, DC, USA",38.9071923,-77.0368707,"Washington DC"
"28","Washington, DC, USA",38.9071923,-77.0368707,"Washington DC"
"29","Harlem, New York, NY, USA",40.8115504,-73.9464769,"Harlem, NYC"
"30","Washington, DC, USA",38.9071923,-77.0368707,"Washington, DC"
"31","Washington, DC, USA",38.9071923,-77.0368707,"Washington, DC,"
"32","Washington, DC, USA",38.9071923,-77.0368707,"Washington, DC"
"33","Baltimore, MD, USA",39.2903848,-76.6121893,"Baltimore"
"34","3191 Casitas Ave #112, Los Angeles, CA 90039, USA",34.1146725,-118.2498524,"World Citizen!"
"35","Milwaukee, WI, USA",43.0389025,-87.9064736,"Milwaukee, Wisconsin"
"36","Berlin, Germany",52.5200066,13.404954,"Berlin 🛫 Geneva "
"37","Anchorage, AK, USA",61.2180556,-149.9002778,"Anchorage Alaska"
"38","Madison, WI, USA",43.0730517,-89.4012302,"Madison, WI"
"39","New Zealand",-40.900557,174.885971,"Aotearoa New Zealand"
"40","Portland, OR, USA",45.5122308,-122.6587185,"Portland, Oregon"
"41","New Zealand",-40.900557,174.885971,"Aotearoa"
"42","Minneapolis, MN, USA",44.977753,-93.2650108,"Minneapolis"
"43","New York, NY, USA",40.7127753,-74.0059728,"New York"
"44","Myanmar (Burma)",21.916221,95.955974,"Myanmar"
"45","4400 Massachusetts Ave NW, Washington, DC 20016, USA",38.9374948,-77.0888029,"Washington, DC | American U"
"46","Hong Kong",22.396428,114.109497,"Hong Kong"
"47","Germany",51.165691,10.451526,"Germany"
"48","New York, NY, USA",40.7127753,-74.0059728,"New York City"
"49","United States",37.09024,-95.712891,"U.S.A"
"50","New York, NY, USA",40.7127753,-74.0059728,"New York City"
"51","Waterford, CT, USA",41.3542395,-72.164816,"Waterford, CT"
"52","Yangon, Myanmar (Burma)",16.8660694,96.195132,"Yangon, Myanmar"
"53","Brooklyn, NY, USA",40.6781784,-73.9441579,"Brooklyn, NY"
"54","Australia",-25.274398,133.775136,"Australia"
"55","New York, NY, USA",40.7127753,-74.0059728,"New York, NY"
"56","New York, NY, USA",40.7127753,-74.0059728,"New York, NY"
"57","Toluca, State of Mexico, Mexico",19.2826098,-99.6556653,"Toluca, México"
"58","Barcelona–El Prat Airport (BCN), 08820 El Prat de Llobregat, Barcelona, Spain",41.297445,2.0832941,"BCN / ✈️"
"59","Richmond, VA, USA",37.5407246,-77.4360481,"Richmond, VA"
"60","Paraguay",-23.442503,-58.443832,"Paraguay"
"61","Brooklyn, NY, USA",40.6781784,-73.9441579,"Brooklyn, NY"
"62","Washington, DC, USA",38.9071923,-77.0368707,"District of Columbia, USA"
"63","Orlando, FL, USA",28.5383355,-81.3792365,"Orlando, FL"
"64","Long Beach, CA, USA",33.7700504,-118.1937395,"Long Beach, CA"
"65","London, UK",51.5073509,-0.1277583,"south london"
"66","Los Angeles, CA, USA",34.0522342,-118.2436849,"Los Angeles, CA"
"67","New York, NY, USA",40.7127753,-74.0059728,"New York City"
"68","7634 W Reno Ave #600, Oklahoma City, OK 73127, USA",35.4619675,-97.6502742,"Guess"
"69","Carlsbad, CA, USA",33.1580933,-117.3505939,"Carlsbad, California"
"70","Mesa, AZ, USA",33.4151843,-111.8314724,"Mesa, AZ"
"71","Nairobi, Kenya",-1.2920659,36.8219462,"Nairobi, Kenya"
"72","Nairobi, Kenya",-1.2920659,36.8219462,"Nairobi, Kenya"
"73","Barcelona, Spain",41.3850639,2.1734035,"Barcelona, España"
