"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","@hitRECord @hitRECordJoe !!!!!",FALSE,0,"hitRECord",2018-12-11 23:16:30,FALSE,"1072614767246917632","1072631239943831552","24815314","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Liketheriverj",0,FALSE,FALSE,NA,NA
"2","Very cool challenge! Go for it! https://t.co/x1lIPcdFJV",FALSE,0,NA,2018-12-11 23:13:10,FALSE,NA,"1072630398205739008",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cjcurcio",0,FALSE,FALSE,NA,NA
"3","A tourism poster that I created for the BGE2 x HitRecord collaboration. Was awesome seeing this in yesterday's live… https://t.co/ai5rY86oun",FALSE,0,NA,2018-12-11 22:55:13,TRUE,NA,"1072625881129078784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FDownes",0,FALSE,FALSE,NA,NA
"4","@hitRECordJoe @hitRECord I remember liking An American Tail as a kid, and I rewatched it a few years ago. Really doesn't hold up.",FALSE,0,"hitRECordJoe",2018-12-11 22:34:49,FALSE,"1072605120402210817","1072620749523959810","24807616","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","MattMaybray",0,FALSE,FALSE,NA,NA
"5","@hitRECordJoe @hitRECord Pee Wee’s dance to “Tequila!” - one of cinema’sbest moments! https://t.co/LUhmxuEeOB",FALSE,0,"hitRECordJoe",2018-12-11 22:15:39,FALSE,"1072605120402210817","1072615924748963841","24807616","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GailShevlin",0,FALSE,FALSE,NA,NA
"6","How would you interpret the voice of this girl lost in space? Looking for voice actors to read this script. Last da… https://t.co/X3oJdElRE1",FALSE,20,NA,2018-12-11 22:11:03,TRUE,NA,"1072614767246917632",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","hitRECord",4,FALSE,FALSE,NA,NA
"7","Coooook!!!

#producer #producers #producerlife #musicproducer #trapmusic #talent #imakebeats #bonafukubeatz… https://t.co/CgZ9Ml2UNQ",FALSE,0,NA,2018-12-11 22:03:58,TRUE,NA,"1072612984017559554",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BonaFukuBeatz",1,FALSE,FALSE,"-90.1978","38.6272"
"8","@PostModernGreg @hitRECordJoe @hitRECord I was teaching a college American history class and made the same referenc… https://t.co/cllXTY02lo",FALSE,0,"PostModernGreg",2018-12-11 22:02:09,TRUE,"1072607668785827840","1072612526985306112","2299453849","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mcbar1",0,FALSE,FALSE,NA,NA
"9","@hitRECord @hitRECordJoe I guess impossible dreams really can come true ❤❤❤

Thank you for everything xo",FALSE,2,"salhutsontweets",2018-12-11 21:56:16,FALSE,"1072610184613249024","1072611047922679808","3150544213","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","salhutsontweets",0,FALSE,FALSE,NA,NA
"10","@hitRECordJoe @hitRECord Showed this to my baby brother, who is currently crushing it with camera work for… https://t.co/xJPmoBrOGu",FALSE,0,"hitRECordJoe",2018-12-11 21:50:22,TRUE,"1072605120402210817","1072609563663310848","24807616","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kduffy1718",0,FALSE,FALSE,NA,NA
"11","@hitRECordJoe @hitRECord okay, you are awesome",FALSE,0,"hitRECordJoe",2018-12-11 21:49:06,FALSE,"1072605120402210817","1072609243939962881","24807616","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","foistedallegory",0,FALSE,FALSE,NA,NA
"12","@hitRECordJoe @hitRECord Yes!

It was so different watching it as an adult, and realizing how well made it actually… https://t.co/zNxmUbHTgt",FALSE,0,"hitRECordJoe",2018-12-11 21:48:58,TRUE,"1072605120402210817","1072609208439332865","24807616","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LXanflorp",0,FALSE,FALSE,NA,NA
"13","@hitRECordJoe @hitRECord True story: I was at the Alamo, and someone actually asked if there was a basement. Okay,… https://t.co/NAKvUsu3JS",FALSE,1,"hitRECordJoe",2018-12-11 21:42:50,TRUE,"1072605120402210817","1072607668785827840","24807616","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PostModernGreg",0,FALSE,FALSE,NA,NA
"14","@hitRECordJoe @hitRECord Yay Pee Wee",FALSE,0,"hitRECordJoe",2018-12-11 21:38:02,FALSE,"1072605120402210817","1072606459752521728","24807616","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KimiSchmitz",0,FALSE,FALSE,NA,NA
"15","@hitRECord @hitRECordJoe These are the perfect end to my Christmas shopping.",FALSE,1,"hitRECord",2018-12-11 21:33:45,FALSE,"1072523921419890688","1072605379744464896","24815314","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MikeDes69126081",0,FALSE,FALSE,NA,NA
"16","A bunch of the @hitRECord staff got together a few years ago to watch it for movie night. Absolutely held up. So go… https://t.co/G7x2EbxYCG",FALSE,88,NA,2018-12-11 21:32:43,TRUE,NA,"1072605120402210817",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hitRECordJoe",3,FALSE,FALSE,NA,NA
"17","Perfect gift too!! https://t.co/v3KPcl9x3S",FALSE,2,NA,2018-12-11 21:06:08,FALSE,NA,"1072598428939620355",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cjcurcio",0,FALSE,FALSE,NA,NA
"18","Looking for a good book to read on the subway? These pocket-sized books are perfect for your commute:… https://t.co/IKglSVssqJ",FALSE,8,NA,2018-12-11 20:45:04,TRUE,NA,"1072593127653994496",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","hitRECord",3,FALSE,FALSE,NA,NA
"19","@JayhanOfficial @bgegame @Chris_RWS @hitRECord I've tried my hand at a few things, so I've never done anything like… https://t.co/zbAUsCCTPw",FALSE,0,"JayhanOfficial",2018-12-11 19:52:46,TRUE,"1072578102033817600","1072579969191198727","1232157763","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Kierro2",0,FALSE,FALSE,NA,NA
"20","@Kierro2 @bgegame @Chris_RWS @hitRECord Thanks so much, Kierro! Yes, that's what makes this so beautiful. I got mor… https://t.co/ib2Bs0PNRa",FALSE,1,"Kierro2",2018-12-11 19:45:21,TRUE,"1072550470877618182","1072578102033817600","847892924838940673","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JayhanOfficial",0,FALSE,FALSE,NA,NA
"21","If you've ever been interested in acting, this could be a great place to start. Just looking for people that want t… https://t.co/xnWfH1Yzcz",FALSE,121,NA,2018-12-11 19:17:00,TRUE,NA,"1072570965261991938",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","hitRECordJoe",17,FALSE,FALSE,NA,NA
"22","@GameRant Shame there's no mention of the Hitrecord assets!",FALSE,0,"GameRant",2018-12-11 19:15:51,FALSE,"1072570219598659584","1072570677855748096","67712170","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dtakes23",0,FALSE,FALSE,NA,NA
"23","Swoon 💛 The beauty of HITRECORD community https://t.co/XGgYeFdTMq",FALSE,10,NA,2018-12-11 18:16:20,FALSE,NA,"1072555699350179841",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hitRECord",0,FALSE,FALSE,NA,NA
"24","@EinsteinMyMind @hitRECordJoe Try using our HITRECORD app, available on Google Play (https://t.co/cHkm7wMHx8) and i… https://t.co/ntH6SFKB8U",FALSE,1,"EinsteinMyMind",2018-12-11 18:13:48,TRUE,"1072515001825542144","1072555063275597824","1066748514854686721","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hitRECord",0,FALSE,FALSE,NA,NA
"25","@bgegame @JayhanOfficial @Chris_RWS @hitRECord It's awesome that BGE devs are working with https://t.co/BbNXevhe8M,… https://t.co/yF0MbYeodX",FALSE,2,"bgegame",2018-12-11 17:55:33,TRUE,"1072526332951707648","1072550470877618182","874373977061195776","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Kierro2",0,FALSE,FALSE,NA,NA
"26","@JayhanOfficial @bgegame @hitRECord Congrats, Julia!",FALSE,2,"JayhanOfficial",2018-12-11 17:53:36,FALSE,"1072247048546779136","1072549978357284866","1232157763","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Kierro2",0,FALSE,FALSE,NA,NA
"27","My poem was remixed into a song!😆
Thank you @Bobbie_C
crossed paths on @hitRECord https://t.co/kIpFl15MPS… https://t.co/GPBNkwAzOF",FALSE,0,NA,2018-12-11 17:29:24,TRUE,NA,"1072543890178277376",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheClassyTeacup",0,FALSE,FALSE,NA,NA
"28","Great to collaborate with creatives. It makes me feel so good to be a part of this. 
Please take a listen to me nar… https://t.co/tz1cmbara9",FALSE,1,NA,2018-12-11 17:10:37,TRUE,NA,"1072539159519264769",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CreativeTigress",0,FALSE,FALSE,NA,NA
"29","*STORE SALE* Free shipping in the U.S. for all orders $50 and up. 

Good stuff to choose from (I swear) —… https://t.co/7SsdCgG9Iz",FALSE,3,NA,2018-12-11 17:03:00,TRUE,NA,"1072537244143996928",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","hitRECord",0,FALSE,FALSE,NA,NA
"30","Take a look at this character. Who has a story for them? https://t.co/bbs4wXZ01h https://t.co/1zNd6QC6Pa",FALSE,180,NA,2018-12-11 17:02:05,FALSE,NA,"1072537015806291968",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","hitRECordJoe",18,FALSE,FALSE,NA,NA
"31","@Ubisoft I like what they showed. Looks like a lot of fleshing-out is still needed though. Take your time and do it… https://t.co/DuNf8bjUe4",FALSE,0,"Ubisoft",2018-12-11 16:51:52,TRUE,"1072530890989940736","1072534443368308736","14922225","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pseudokings",0,FALSE,FALSE,NA,NA
"32","@bgegame @Chris_RWS @hitRECord My pleasure! Again, big thanks to you, your team, hitRECord, Ubisoft, everyone that… https://t.co/r4a9fxDD0L",FALSE,2,"bgegame",2018-12-11 16:49:48,TRUE,"1072526332951707648","1072533923350093824","874373977061195776","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JayhanOfficial",0,FALSE,FALSE,NA,NA
"33","@JayhanOfficial @Chris_RWS @hitRECord Beautiful voice! Thanks for your contributions to #BGE2!",FALSE,5,"JayhanOfficial",2018-12-11 16:19:39,FALSE,"1072324877372264448","1072526332951707648","1232157763","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bgegame",1,FALSE,FALSE,NA,NA
"34","These tiny books are the perfect stocking-stuffer. Order NOW to receive them in time for the holidays!… https://t.co/heO7L74hBn",FALSE,56,NA,2018-12-11 16:10:04,TRUE,NA,"1072523921419890688",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","hitRECord",7,FALSE,FALSE,NA,NA
"35","@hitRECordJoe I'm trying to contribute to the voice acting but I guess my app isn't compatible. What app would you… https://t.co/l9PgmMxRy5",FALSE,1,"hitRECordJoe",2018-12-11 15:34:37,TRUE,NA,"1072515001825542144","24807616","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","EinsteinMyMind",0,FALSE,FALSE,NA,NA
"36","@hitRECordJoe That’s my favourite experience level! #hitrecord",FALSE,2,"hitRECordJoe",2018-12-11 15:08:15,FALSE,"1072507298852028416","1072508365283254272","24807616","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Snagglefoot",0,FALSE,FALSE,NA,NA
"37","Zero previous experience needed for this voice acting opportunity. Just read the script aloud and record. INFO: https://t.co/5qHTO5QumA",FALSE,104,NA,2018-12-11 15:04:00,FALSE,NA,"1072507298852028416",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","hitRECordJoe",15,FALSE,FALSE,NA,NA
"38","@hitRECord someone totally needs to do some 💅
😂",FALSE,0,"hitRECord",2018-12-11 14:44:21,FALSE,"1072279304187199489","1072502351309750272","24815314","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ViciousVixxenV",0,FALSE,FALSE,NA,NA
